tf	group	offset_bp	protection_score	n_sites	site_coordinate	lineage
BACH2	B_cell	-18	-0.00022163586715407812	5000	motif_center	B_cell
BACH2	B_cell	-17	-0.0001829692667673034	5000	motif_center	B_cell
BACH2	B_cell	-16	-0.00013242306121710734	5000	motif_center	B_cell
BACH2	B_cell	-15	-0.00012237199932005772	5000	motif_center	B_cell
BACH2	B_cell	-14	-0.00018548252547260276	5000	motif_center	B_cell
BACH2	B_cell	-13	-0.0002407287261791168	5000	motif_center	B_cell
BACH2	B_cell	-12	-0.00020579540512982806	5000	motif_center	B_cell
BACH2	B_cell	-11	-3.795516495335577e-05	5000	motif_center	B_cell
BACH2	B_cell	-10	0.00012633286925913846	5000	motif_center	B_cell
BACH2	B_cell	-9	0.00024832590766251175	5000	motif_center	B_cell
BACH2	B_cell	-8	0.0002127375549044871	5000	motif_center	B_cell
BACH2	B_cell	-7	7.924882690868613e-05	5000	motif_center	B_cell
BACH2	B_cell	-6	7.857004843605034e-05	5000	motif_center	B_cell
BACH2	B_cell	-5	0.00010121214404938683	5000	motif_center	B_cell
BACH2	B_cell	-4	0.00012808225624121386	5000	motif_center	B_cell
BACH2	B_cell	-3	4.921339214912588e-05	5000	motif_center	B_cell
BACH2	B_cell	-2	-1.98438628630504e-05	5000	motif_center	B_cell
BACH2	B_cell	-1	-3.084283803805529e-05	5000	motif_center	B_cell
BACH2	B_cell	0	-3.605735766106996e-05	5000	motif_center	B_cell
BACH2	B_cell	1	-5.791084517207338e-05	5000	motif_center	B_cell
BACH2	B_cell	2	-2.6826572298529507e-05	5000	motif_center	B_cell
BACH2	B_cell	3	5.160197525885379e-05	5000	motif_center	B_cell
BACH2	B_cell	4	2.7931817564936026e-05	5000	motif_center	B_cell
BACH2	B_cell	5	-5.0707488576570356e-05	5000	motif_center	B_cell
BACH2	B_cell	6	-7.520781369720238e-05	5000	motif_center	B_cell
BACH2	B_cell	7	-2.34504947754597e-05	5000	motif_center	B_cell
BACH2	B_cell	8	1.2446572337359088e-05	5000	motif_center	B_cell
BACH2	B_cell	9	-6.35043363727281e-05	5000	motif_center	B_cell
BACH2	B_cell	10	-0.00026354398580534077	5000	motif_center	B_cell
BACH2	B_cell	11	-0.00043790583851389606	5000	motif_center	B_cell
BACH2	B_cell	12	-0.0005052790127205	5000	motif_center	B_cell
BACH2	B_cell	13	-0.0004688278404034324	5000	motif_center	B_cell
BACH2	B_cell	14	-0.0003678145857727716	5000	motif_center	B_cell
BACH2	B_cell	15	-0.00042389689039261467	5000	motif_center	B_cell
BACH2	B_cell	16	-0.0005564357246179413	5000	motif_center	B_cell
BACH2	B_cell	17	-0.0006667945468716661	5000	motif_center	B_cell
BACH2	B_cell	18	-0.000681154760515168	5000	motif_center	B_cell
BACH2	B_cell	19	-0.0006706574495061041	5000	motif_center	B_cell
BACH2	B_cell	20	-0.0006744659301269615	5000	motif_center	B_cell
BACH2	B_cell	21	-0.0005876357719841472	5000	motif_center	B_cell
BACH2	B_cell	22	-0.0005154418885845048	5000	motif_center	B_cell
BACH2	B_cell	23	-0.0005157773196051525	5000	motif_center	B_cell
BACH2	B_cell	24	-0.0005711333519665025	5000	motif_center	B_cell
BACH2	B_cell	25	-0.0006355509722119285	5000	motif_center	B_cell
BACH2	B_cell	26	-0.0006523383594041789	5000	motif_center	B_cell
BACH2	B_cell	27	-0.0006337283632691414	5000	motif_center	B_cell
BACH2	B_cell	28	-0.0006108398871998936	5000	motif_center	B_cell
BACH2	B_cell	29	-0.0006015754560099694	5000	motif_center	B_cell
BACH2	B_cell	30	-0.0006023897911549081	5000	motif_center	B_cell
BACH2	B_cell	31	-0.0005425029665683465	5000	motif_center	B_cell
BACH2	B_cell	32	-0.00046193319939502684	5000	motif_center	B_cell
BACH2	B_cell	33	-0.0004111030138224834	5000	motif_center	B_cell
BACH2	B_cell	34	-0.00039756109424526724	5000	motif_center	B_cell
BACH2	B_cell	35	-0.0004593338529380068	5000	motif_center	B_cell
BACH2	B_cell	36	-0.00044071099468024916	5000	motif_center	B_cell
BACH2	B_cell	37	-0.00033276054840996206	5000	motif_center	B_cell
BACH2	B_cell	38	-0.00027578574012409197	5000	motif_center	B_cell
BACH2	B_cell	39	-0.00021812324678424817	5000	motif_center	B_cell
BACH2	B_cell	40	-0.00018798193835053208	5000	motif_center	B_cell
BACH2	B_cell	41	-0.00016687945961668237	5000	motif_center	B_cell
BACH2	B_cell	42	-0.00017404521817205275	5000	motif_center	B_cell
BACH2	B_cell	43	-0.00022757567384247643	5000	motif_center	B_cell
BACH2	B_cell	44	-0.00025853923321574393	5000	motif_center	B_cell
BACH2	B_cell	45	-0.0002674355793581126	5000	motif_center	B_cell
BACH2	B_cell	46	-0.00021524289071867507	5000	motif_center	B_cell
BACH2	B_cell	47	-0.00017523753427796905	5000	motif_center	B_cell
BACH2	B_cell	48	-0.00017267579065476189	5000	motif_center	B_cell
BACH2	B_cell	49	-0.00018383704050547577	5000	motif_center	B_cell
BACH2	B_cell	50	-0.00018252005381125258	5000	motif_center	B_cell
BACH2	B_cell	51	-0.0001765495794947662	5000	motif_center	B_cell
BACH2	B_cell	52	-0.0001528101575906781	5000	motif_center	B_cell
BACH2	B_cell	53	-0.00018535984100567	5000	motif_center	B_cell
BACH2	B_cell	54	-0.0002427096594269304	5000	motif_center	B_cell
BACH2	B_cell	55	-0.00028402507955971237	5000	motif_center	B_cell
BACH2	B_cell	56	-0.0002698380256910167	5000	motif_center	B_cell
BACH2	B_cell	57	-0.0002485040104819661	5000	motif_center	B_cell
BACH2	B_cell	58	-0.000235861522361637	5000	motif_center	B_cell
BACH2	B_cell	59	-0.00018822832286216097	5000	motif_center	B_cell
BACH2	B_cell	60	-0.00023100222297746126	5000	motif_center	B_cell
BACH2	B_cell	61	-0.00023908522260898592	5000	motif_center	B_cell
BACH2	B_cell	62	-0.00020845313766078288	5000	motif_center	B_cell
BACH2	B_cell	63	-0.00019383368379800175	5000	motif_center	B_cell
BACH2	B_cell	64	-0.00016834190595244568	5000	motif_center	B_cell
BACH2	B_cell	65	-0.0001419091395035623	5000	motif_center	B_cell
BACH2	B_cell	66	-0.00010538474606734249	5000	motif_center	B_cell
BACH2	B_cell	67	-0.00010586167170367582	5000	motif_center	B_cell
BACH2	B_cell	68	-0.00010211948852288308	5000	motif_center	B_cell
BACH2	B_cell	69	-0.0001129225476828831	5000	motif_center	B_cell
BACH2	B_cell	70	-0.0001169902674569975	5000	motif_center	B_cell
BACH2	B_cell	71	-0.00010238565503439302	5000	motif_center	B_cell
BACH2	B_cell	72	-6.963312930058016e-05	5000	motif_center	B_cell
BACH2	B_cell	73	-8.342736391746871e-05	5000	motif_center	B_cell
BACH2	B_cell	74	-6.145217197778708e-05	5000	motif_center	B_cell
BACH2	B_cell	75	1.1480846675615379e-05	5000	motif_center	B_cell
BACH2	B_cell	76	9.782814377475284e-05	5000	motif_center	B_cell
BACH2	B_cell	77	0.00017742426968235785	5000	motif_center	B_cell
BACH2	B_cell	78	0.00019687927556274413	5000	motif_center	B_cell
BACH2	B_cell	79	0.00017663467128007163	5000	motif_center	B_cell
BACH2	B_cell	80	0.00014271357895646744	5000	motif_center	B_cell
BACH2	B_cell	81	0.0002002434800354733	5000	motif_center	B_cell
BACH2	B_cell	82	0.00022170513616738855	5000	motif_center	B_cell
BACH2	B_cell	83	0.0001877256663044293	5000	motif_center	B_cell
BACH2	B_cell	84	0.00014985262254708313	5000	motif_center	B_cell
BACH2	B_cell	85	0.00015199878742841455	5000	motif_center	B_cell
BACH2	B_cell	86	0.00015445366750775884	5000	motif_center	B_cell
BACH2	B_cell	87	0.00014738289864479589	5000	motif_center	B_cell
BACH2	B_cell	88	0.0001499842218401896	5000	motif_center	B_cell
BACH2	B_cell	89	0.00015192062114037204	5000	motif_center	B_cell
BACH2	B_cell	90	0.00015446950242751188	5000	motif_center	B_cell
BACH2	B_cell	91	0.00022661292336502784	5000	motif_center	B_cell
BACH2	B_cell	92	0.0002861286966419881	5000	motif_center	B_cell
BACH2	B_cell	93	0.00030102718230514205	5000	motif_center	B_cell
BACH2	B_cell	94	0.0002771729825361371	5000	motif_center	B_cell
BACH2	B_cell	95	0.00023750008856469667	5000	motif_center	B_cell
BACH2	B_cell	96	0.00020746366518972293	5000	motif_center	B_cell
BACH2	B_cell	97	0.0002016772307538322	5000	motif_center	B_cell
BACH2	B_cell	98	0.00017097588224685312	5000	motif_center	B_cell
BACH2	B_cell	99	0.0001332809416701398	5000	motif_center	B_cell
BACH2	B_cell	100	8.474336279479244e-05	5000	motif_center	B_cell
BACH2	B_cell	101	8.555176311896961e-05	5000	motif_center	B_cell
BACH2	B_cell	102	6.233082569567956e-05	5000	motif_center	B_cell
BACH2	B_cell	103	6.213985720347846e-05	5000	motif_center	B_cell
BACH2	B_cell	104	6.17628673695858e-05	5000	motif_center	B_cell
BACH2	B_cell	105	7.357419835125629e-05	5000	motif_center	B_cell
BACH2	B_cell	106	8.93988301850974e-05	5000	motif_center	B_cell
BACH2	B_cell	107	9.295994185644363e-05	5000	motif_center	B_cell
BACH2	B_cell	108	8.271098754803266e-05	5000	motif_center	B_cell
BACH2	B_cell	109	8.518367922045892e-05	5000	motif_center	B_cell
BACH2	B_cell	110	8.669757176651841e-05	5000	motif_center	B_cell
BACH2	B_cell	111	7.99790545891201e-05	5000	motif_center	B_cell
BACH2	B_cell	112	2.6379334989046904e-05	5000	motif_center	B_cell
BACH2	B_cell	113	-2.4310345429040016e-05	5000	motif_center	B_cell
BACH2	B_cell	114	-7.647631822124516e-06	5000	motif_center	B_cell
BACH2	B_cell	115	2.109555157782557e-05	5000	motif_center	B_cell
BACH2	B_cell	116	5.608527281289032e-05	5000	motif_center	B_cell
BACH2	B_cell	117	4.420863613746346e-05	5000	motif_center	B_cell
BACH2	B_cell	118	2.27469806699512e-05	5000	motif_center	B_cell
BACH2	B_cell	119	-2.822965024720271e-06	5000	motif_center	B_cell
BACH2	B_cell	120	1.3403394176135681e-05	5000	motif_center	B_cell
BACH2	B_cell	121	6.157091073857304e-05	5000	motif_center	B_cell
BACH2	B_cell	122	9.942515479359352e-05	5000	motif_center	B_cell
BACH2	B_cell	123	9.22623644620175e-05	5000	motif_center	B_cell
BACH2	B_cell	124	7.187230699024459e-05	5000	motif_center	B_cell
BACH2	B_cell	125	6.912751075980206e-05	5000	motif_center	B_cell
BACH2	B_cell	126	6.876041625842244e-05	5000	motif_center	B_cell
BACH2	B_cell	127	6.628871382276247e-05	5000	motif_center	B_cell
BACH2	B_cell	128	5.6729420072030266e-05	5000	motif_center	B_cell
BACH2	B_cell	129	5.978095306077716e-05	5000	motif_center	B_cell
BACH2	B_cell	130	7.986526308882864e-05	5000	motif_center	B_cell
