tf	group	offset_bp	cutsite_cpm	n_sites	total_motif_hits	signal_column	site_coordinate	lineage
SPIB	B_cell	-147	0.0042975910146148795	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-146	0.0042510862127991475	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-145	0.004267760202914398	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-144	0.004266327283113753	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-143	0.0044806141261251944	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-142	0.004315697933747937	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-141	0.0043298968764126835	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-140	0.0043438352885273	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-139	0.004486345814389242	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-138	0.004678617776278978	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-137	0.004447005611514458	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-136	0.004426553918115283	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-135	0.004400370545170998	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-134	0.004490514310851542	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-133	0.004516437159286673	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-132	0.004548352216166677	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-131	0.00456606833212572	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-130	0.004487778730079531	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-129	0.004406362758037616	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-128	0.004458990043195254	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-127	0.004523732021572065	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-126	0.004576359312272456	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-125	0.004828292905379058	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-124	0.004653737054870923	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-123	0.004588995064505574	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-122	0.004569715769293823	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-121	0.00460957702461221	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-120	0.004748570375529485	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-119	0.0046585568769923515	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-118	0.0047457045378899556	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-117	0.0047688918059578846	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-116	0.004847441938523065	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-115	0.004837932548967994	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-114	0.00488013859303216	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-113	0.004845748486646475	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-112	0.004971585015667129	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-111	0.00501587530945712	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-110	0.004968849437697634	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-109	0.004891862498055207	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-108	0.004849526191923299	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-107	0.004930942159356633	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-106	0.00504726930729204	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-105	0.004994251221513791	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-104	0.005127903683074982	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-103	0.005153696267231498	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-102	0.005178446718413377	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-101	0.005280444652679384	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-100	0.005164508310658229	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-99	0.005094555698142482	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-98	0.005137673604052077	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-97	0.005164638574936845	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-96	0.0051774045953721	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-95	0.005175711139603127	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-94	0.005299854216186688	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-93	0.005449529345473603	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-92	0.005420610393469955	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-91	0.005276276151608503	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-90	0.005355738141784201	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-89	0.0054448397915231725	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-88	0.005377101696094632	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-87	0.005555826041476975	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-86	0.005520914873991029	119634	119634	cutsite_bigwig	motif_center	B_cell
