stratum	group	n_regions	mean	median	sd
34	FOXA2 only	100	0.034906362	0.034908615	0.00095051455
34	HNF4A + FOXA2	100	0.03479739	0.034860865	0.00093651881
34	HNF4A only	100	0.034701456	0.034776355	0.0009143128
34	No HNF4A/FOXA2	100	0.034686917	0.034757284	0.00093549825
35	FOXA2 only	100	0.038090884	0.037949745	0.00099367169
35	HNF4A + FOXA2	100	0.038096254	0.037959775	0.0010372265
35	HNF4A only	100	0.038212845	0.038242003	0.00097355932
35	No HNF4A/FOXA2	100	0.038237754	0.038170948	0.0011048842
36	FOXA2 only	100	0.041823331	0.041870375	0.0011132489
36	HNF4A + FOXA2	100	0.041905197	0.041853735	0.0011425782
36	HNF4A only	100	0.042011689	0.042122412	0.0011755854
36	No HNF4A/FOXA2	100	0.041826395	0.04167384	0.0010035112
37	FOXA2 only	100	0.04613696	0.04604366	0.0013128612
37	HNF4A + FOXA2	100	0.046206363	0.046311711	0.0013574945
37	HNF4A only	100	0.046080891	0.045862908	0.0013612219
37	No HNF4A/FOXA2	100	0.046279292	0.046228956	0.0013108422
38	FOXA2 only	100	0.050785328	0.050819461	0.0013605388
38	HNF4A + FOXA2	100	0.050659643	0.050665922	0.0013796918
38	HNF4A only	100	0.051009614	0.050970567	0.0013265908
38	No HNF4A/FOXA2	100	0.051022408	0.051134542	0.0013853902
39	FOXA2 only	100	0.055964367	0.055702557	0.0016657174
39	HNF4A + FOXA2	100	0.055844642	0.055363079	0.0016199491
39	HNF4A only	100	0.055932409	0.055911173	0.0017369402
39	No HNF4A/FOXA2	100	0.055956627	0.055918224	0.0015941272
40	FOXA2 only	100	0.062029013	0.06201656	0.0018397987
40	HNF4A + FOXA2	100	0.061870981	0.061900315	0.0018579846
40	HNF4A only	100	0.06195665	0.061628599	0.0018376076
40	No HNF4A/FOXA2	100	0.062005695	0.061950506	0.0017551483
41	FOXA2 only	100	0.068575514	0.068748233	0.0020002482
41	HNF4A + FOXA2	100	0.068714638	0.06868191	0.0019768556
41	HNF4A only	100	0.068961482	0.069203326	0.001969017
41	No HNF4A/FOXA2	100	0.068682165	0.068589946	0.0018627064
42	FOXA2 only	100	0.076074651	0.076031534	0.0021989934
42	HNF4A + FOXA2	100	0.07648539	0.076166059	0.002353182
42	HNF4A only	100	0.076493556	0.076392822	0.0023130357
42	No HNF4A/FOXA2	100	0.076531993	0.076672318	0.0023892272
